DISTRICT,BUFF,MUTTON,CHEVON,PORK ,CHICKEN,DUCK MEAT,TOTAL MEAT,LAYING HEN,LAYING DUCK,HEN EGG,DUCK EGG,TOTAL EGG,MILKING  COWS NO.,MILKING  BUFFALOES NO.,COW MILK,BUFF MILK,TOTAL MILK PRODUCED,SHEEPS NO.,SHEEP WOOL PRODUCED,Horses/Asses,Rabbit,YAK/NAK/CHAURI,AREA (Ha.),PROD. (Mt.),YIELD Kg/Ha
TAPLEJUNG,607,31,491,443,172,0,1744,15366,341,2420,25,2445,8123,4987,5389,4257,9645,5777,3519,543,506,3465,0,0,0
SANKHUWASABHA,1646,41,958,509,302,1,3457,77512,465,5506,34,5540,15342,13367,6988,10589,17577,12181,9050,358,313,3945,0,0,0
SOLUKHUMBU,1123,28,416,428,166,0,2161,42671,374,2345,28,2373,7819,13501,2948,5493,8441,8461,6286,1775,105,12235,0,0,0
E.MOUNTAIN,3376,100,1865,1380,640,1,7362,135548,1180,10271,87,10358,31284,31855,15324,20339,35663,26419,18855,0,0,0,0,0,0
PANCHTHAR,1496,4,940,730,248,1,3419,63779,261,5581,19,5600,14854,11331,8511,9835,18346,1338,994,15,29,1075,0,0,0
ILLAM,1974,1,870,416,104,0,3365,26781,332,6656,27,6683,26821,5759,19735,15261,34996,160,118,2815,240,165,0,0,0
TERHATHUM,2358,24,399,486,116,1,3384,26030,514,3000,39,3039,18880,13276,10089,11500,21589,7083,5262,42,206,0,0,0,0
DHANKUTA,1521,2,405,462,471,2,2863,120878,1400,1878,109,1987,12523,5391,8176,4579,12755,577,324,0,213,0,0,0,0
BHOJPUR,1251,51,313,919,251,2,2787,53957,1136,4037,88,4125,14103,16342,7324,14184,21508,18210,13530,168,42,887,0,0,0
KHOTANG,1997,31,442,705,310,1,3486,50271,354,4310,27,4337,12998,19501,7105,12275,19380,9156,5925,350,100,350,0,0,0
OKHALDHUNGA,1497,31,685,751,294,0,3258,59344,445,3296,33,3329,7930,11693,4555,5516,10071,9105,6756,102,645,675,0,0,0
UDAYAPUR,3346,2,1430,818,578,2,6176,148326,1474,50120,116,50236,15867,26138,9092,22687,31779,609,452,1302,1217,0,0,0,0
E.HILLS,15440,146,5484,5287,2372,9,28738,549366,5916,78878,458,79336,123976,109431,74587,95837,170424,46238,33361,0,0,0,0,0,0
JHAPA,5241,0,1447,1115,1425,9,9237,199044,3200,28610,258,28868,36068,19327,29667,32457,62124,36,13,42,370,0,0,0,0
MORANG,5347,1,1678,861,1444,28,9359,336661,25971,31600,2052,33652,56521,27610,37387,35820,73207,490,364,47,0,0,0,0,0
SUNSARI,4728,12,1769,884,820,23,8236,204547,7228,29569,549,30118,40311,38560,14964,27894,42858,3658,3152,57,1138,0,0,0,0
SAPTARI,3867,7,2200,360,1301,15,7750,158952,13498,18082,1060,19142,31790,41650,16654,25228,41882,2033,1510,0,0,0,0,0,0
SIRAHA,3221,3,1286,308,809,4,5631,196437,3200,17231,248,17479,12434,23745,8125,25624,33749,941,747,0,0,0,0,0,0
E.TERAI,22404,23,8380,3528,5799,79,40213,1095640,53097,125092,4167,129259,177124,150892,106797,147023,253820,7158,5786,0,0,0,0,0,0
E.REGION,41220,269,15729,10195,8811,89,76313,1780554.06,60193,214241,4712,218953,332384,292178,196708,263199,459907,79815,58002,7616,5124,22797,0,0,0
DOLAKHA,1704,40,576,117,210,2,2649,67464,1964,8040,155,8195,12344,13805,5544,10155,15699,11809,8774,0,0,5053,0,0,0
SINDHUPALCHOK,2457,27,1047,209,784,1,4525,151540,1184,7500,90,7590,7183,16901,6567,18456,25023,7956,5911,0,220,4540,0,0,0
RASUWA,325,18,198,18,52,0,611,13267,275,942,20,962,1853,1901,1062,1650,2712,5335,3964,0,581,128,0,0,0
C.MOUNTAIN,4486,85,1821,344,1046,3,7785,232271,3423,16482,265,16747,21380,32607,13173,30261,43434,25100,18649,0,0,0,0,0,0
RAMECHAP,2311,11,726,213,278,0,3539,71247,317,6502,24,6526,12255,18055,4780,13521,18301,3763,2795,0,74,1653,0,0,0
SINDHULI,2089,2,1003,367,792,2,4255,102420,2265,7683,175,7858,15745,14960,8024,5955,13979,315,234,0,0,0,0,0,0
