district,horses/asses,milking  cows no.,milking  buffaloes no.,cow milk,buff milk,total milk produced,buff,mutton,chevon,pork ,chicken,duck meat,total meat,area (ha.),prod. (mt.),yield kg/ha,laying hen,laying duck,hen egg,duck egg,total egg,rabbit,sheeps no.,sheep wool produced,yak/nak/chauri
E.REGION,7616.0,332384,292178,196708,263199,459907.0,41220,269,15729,10195,8811,89,76313,0.0,0.0,0.0,1780554.06,60193,214241,4712,218953,5124.0,79815,58002,22797.0
C.REGION,1468.0,263728,377741,177815,358483,536299.0,50244,256,16893,4432,28728,67,100620,0.0,0.0,0.0,7118554.32,49572,756783,3907,760690,5304.0,77126,57295,12484.0
W.REGION,7789.0,154560,341323,105190,315616,420806.0,40476,561,12540,4127,9414,65,67183,0.0,0.0,0.0,1745955.36,54256,163058,3963,167021,8915.0,144089,101731,14823.0
MW.REGION,35124.0,144868,211885,76157,160705,236862.0,24911,1263,13528,3770,5354,10,48836,0.0,0.0,0.0,1170714.06,10534,119341,820,120161,11483.0,397057,295006,17835.0
FW.REGION,3811.0,130595,132257,87936,112438,200374.0,18154,335,6893,985,2734,6,29107,0.0,0.0,0.0,537737.0,6372,40743,504,41247,1387.0,102571,76314,892.0
NEPAL,55808.0,1026135,1355384,643806,1210441,0.0,175005,2684,65583,23509,55041,237,322059,143.0,127.0,890.0,12353515.0,180927,1294166,13906,1308072,32213.0,800658,588348,68831.0
E.MOUNTAIN,0.0,31284,31855,15324,20339,35663.0,3376,100,1865,1380,640,1,7362,0.0,0.0,0.0,135548.0,1180,10271,87,10358,0.0,26419,18855,0.0
E.HILLS,0.0,123976,109431,74587,95837,170424.0,15440,146,5484,5287,2372,9,28738,0.0,0.0,0.0,549366.0,5916,78878,458,79336,0.0,46238,33361,0.0
E.TERAI,0.0,177124,150892,106797,147023,253820.0,22404,23,8380,3528,5799,79,40213,0.0,0.0,0.0,1095640.0,53097,125092,4167,129259,0.0,7158,5786,0.0
C.MOUNTAIN,0.0,21380,32607,13173,30261,43434.0,4486,85,1821,344,1046,3,7785,0.0,0.0,0.0,232271.0,3423,16482,265,16747,0.0,25100,18649,0.0
C.HILLS,0.0,125519,187803,78958,187149,266107.0,23305,147,6777,2345,14123,18,46715,0.0,0.0,0.0,3222902.0,17417,276415,1338,277753,0.0,44251,32874,0.0
C.TERAI,0.0,116829,157331,85684,141074,226758.0,22453,24,8295,1743,13559,46,46120,0.0,0.0,0.0,3663381.0,28732,463886,2304,466190,0.0,7775,5772,0.0
W.MOUNTAIN,0.0,1561,49,894,35,929.0,6,34,195,3,13,0,251,0.0,0.0,0.0,3571.0,13,616,1,617,0.0,12257,9231,0.0
W.HILLS,0.0,94009,225270,64947,230740,295687.0,27487,422,7995,3306,5548,38,44796,0.0,0.0,0.0,1129538.0,21433,106718,1458,108176,0.0,97499,72231,0.0
W.TERAI,0.0,58990,116004,39349,84840,124189.0,12983,105,4350,818,3853,27,22136,0.0,0.0,0.0,612847.0,32810,55724,2504,58228,0.0,34333,20269,0.0
MW.MOUNTAIN,0.0,18414,7963,7878,5880,13758.0,1221,702,1016,24,90,0,3053,0.0,0.0,0.0,21256.0,495,2368,34,2402,0.0,210274,156231,0.0
MW.HILLS,0.0,77832,107908,38547,77936,116483.0,13522,369,5750,1837,2401,4,23883,0.0,0.0,0.0,420065.0,4744,33666,369,34035,0.0,128058,95144,0.0
MW.TERAI,0.0,48622,96014,29732,76889,106621.0,10168,192,6762,1909,2863,6,21900,0.0,0.0,0.0,729393.0,5295,83307,417,83724,0.0,58725,43631,0.0
FW.MOUNTAIN,0.0,37637,23773,14035,16380,30415.0,2684,223,1460,69,109,0,4545,0.0,0.0,0.0,25484.0,487,2615,35,2650,0.0,68985,51254,0.0
FW.HILLS,0.0,45036,39569,22850,33505,56355.0,5692,14,3103,87,237,0,9133,0.0,0.0,0.0,48735.0,535,7717,39,7756,0.0,4366,3350,0.0
FW.TERAI,0.0,47922,68915,51051,62553,113604.0,9778,98,2330,829,2388,6,15429,0.0,0.0,0.0,463517.8,5350,30411,430,30841,0.0,29220,21710,0.0
