,district,horses/asses,milking  cows no.,milking  buffaloes no.,cow milk,buff milk,total milk produced,buff,mutton,chevon,pork ,chicken,duck meat,total meat,area (ha.),prod. (mt.),yield kg/ha,laying hen,laying duck,hen egg,duck egg,total egg,rabbit,sheeps no.,sheep wool produced,yak/nak/chauri,region
0,TAPLEJUNG,543.0,8123,4987,5389,4257,9645.0,607,31,491,443,172,0,1744,0.0,0.0,0.0,15366.0,341,2420,25,2445,506.0,5777,3519,3465.0,(1) KOSHI - Himalayan
1,SANKHUWASHAVA,358.0,15342,13367,6988,10589,17577.0,1646,41,958,509,302,1,3457,0.0,0.0,0.0,77512.0,465,5506,34,5540,313.0,12181,9050,3945.0,(1) KOSHI - Himalayan
2,SOLUKHUMBU,1775.0,7819,13501,2948,5493,8441.0,1123,28,416,428,166,0,2161,0.0,0.0,0.0,42671.0,374,2345,28,2373,105.0,8461,6286,12235.0,(1) KOSHI - Himalayan
3,PANCHTHAR,15.0,14854,11331,8511,9835,18346.0,1496,4,940,730,248,1,3419,0.0,0.0,0.0,63779.0,261,5581,19,5600,29.0,1338,994,1075.0,(1) KOSHI - Hill
4,ILLAM,2815.0,26821,5759,19735,15261,34996.0,1974,1,870,416,104,0,3365,0.0,0.0,0.0,26781.0,332,6656,27,6683,240.0,160,118,165.0,(1) KOSHI - Hill
5,TERHATHUM,42.0,18880,13276,10089,11500,21589.0,2358,24,399,486,116,1,3384,0.0,0.0,0.0,26030.0,514,3000,39,3039,206.0,7083,5262,0.0,(1) KOSHI - Hill
6,BHOJPUR,168.0,14103,16342,7324,14184,21508.0,1251,51,313,919,251,2,2787,0.0,0.0,0.0,53957.0,1136,4037,88,4125,42.0,18210,13530,887.0,(1) KOSHI - Hill
7,KHOTANG,350.0,12998,19501,7105,12275,19380.0,1997,31,442,705,310,1,3486,0.0,0.0,0.0,50271.0,354,4310,27,4337,100.0,9156,5925,350.0,(1) KOSHI - Hill
8,OKHALDHUNGA,102.0,7930,11693,4555,5516,10071.0,1497,31,685,751,294,0,3258,0.0,0.0,0.0,59344.0,445,3296,33,3329,645.0,9105,6756,675.0,(1) KOSHI - Hill
9,UDAYAPUR,1302.0,15867,26138,9092,22687,31779.0,3346,2,1430,818,578,2,6176,0.0,0.0,0.0,148326.0,1474,50120,116,50236,1217.0,609,452,0.0,(1) KOSHI - Hill
10,JHAPA,42.0,36068,19327,29667,32457,62124.0,5241,0,1447,1115,1425,9,9237,0.0,0.0,0.0,199044.0,3200,28610,258,28868,370.0,36,13,0.0,(1) KOSHI - Terai
11,MORANG,47.0,56521,27610,37387,35820,73207.0,5347,1,1678,861,1444,28,9359,0.0,0.0,0.0,336661.0,25971,31600,2052,33652,0.0,490,364,0.0,(1) KOSHI - Terai
12,SUNSARI,57.0,40311,38560,14964,27894,42858.0,4728,12,1769,884,820,23,8236,0.0,0.0,0.0,204547.0,7228,29569,549,30118,1138.0,3658,3152,0.0,(1) KOSHI - Terai
13,NUWAKOT,950.0,21350,38480,12234,18937,31171.0,4160,66,700,285,1140,3,6354,0.0,0.0,0.0,292757.0,2824,26109,215,26324,0.0,19741,14667,920.0,(3) BAGMATI - Hill
14,RAUTAHAT,198.0,16493,22102,13162,15369,28531.0,2672,3,984,153,452,4,4268,0.0,0.0,0.0,116105.0,3651,7822,277,8099,0.0,917,681,0.0,(2) MADHESH - Terai
